id,assetName,spriteName,numIndex,numX,numY
0,fantasy_world_object,fantasy_world_object_0,0,0,0
1,fantasy_world_object,fantasy_world_object_1,1,1,0
2,fantasy_world_object,fantasy_world_object_2,2,2,0
3,fantasy_world_object,fantasy_world_object_3,3,3,0
4,fantasy_world_object,fantasy_world_object_4,4,4,0
5,fantasy_world_object,fantasy_world_object_5,5,5,0
6,fantasy_world_object,fantasy_world_object_6,6,6,0
7,fantasy_world_object,fantasy_world_object_7,7,7,0
8,fantasy_world_object,fantasy_world_object_8,8,8,0
9,fantasy_world_object,fantasy_world_object_9,9,9,0
10,fantasy_world_object,fantasy_world_object_10,10,10,0
11,fantasy_world_object,fantasy_world_object_11,11,11,0
12,fantasy_world_object,fantasy_world_object_12,12,12,0
13,fantasy_world_object,fantasy_world_object_13,13,13,0
14,fantasy_world_object,fantasy_world_object_14,14,0,1
15,fantasy_world_object,fantasy_world_object_15,15,1,1
16,fantasy_world_object,fantasy_world_object_16,16,2,1
17,fantasy_world_object,fantasy_world_object_17,17,3,1
18,fantasy_world_object,fantasy_world_object_18,18,4,1
19,fantasy_world_object,fantasy_world_object_19,19,5,1
20,fantasy_world_object,fantasy_world_object_20,20,6,1
21,fantasy_world_object,fantasy_world_object_21,21,7,1
22,fantasy_world_object,fantasy_world_object_22,22,8,1
23,fantasy_world_object,fantasy_world_object_23,23,9,1
24,fantasy_world_object,fantasy_world_object_24,24,10,1
25,fantasy_world_object,fantasy_world_object_25,25,11,1
26,fantasy_world_object,fantasy_world_object_26,26,12,1
27,fantasy_world_object,fantasy_world_object_27,27,13,1
28,fantasy_world_object,fantasy_world_object_28,28,0,2
29,fantasy_world_object,fantasy_world_object_29,29,1,2
30,fantasy_world_object,fantasy_world_object_30,30,2,2
31,fantasy_world_object,fantasy_world_object_31,31,3,2
32,fantasy_world_object,fantasy_world_object_32,32,4,2
33,fantasy_world_object,fantasy_world_object_33,33,5,2
34,fantasy_world_object,fantasy_world_object_34,34,6,2
35,fantasy_world_object,fantasy_world_object_35,35,7,2
36,fantasy_world_object,fantasy_world_object_36,36,8,2
37,fantasy_world_object,fantasy_world_object_37,37,9,2
38,fantasy_world_object,fantasy_world_object_38,38,10,2
39,fantasy_world_object,fantasy_world_object_39,39,11,2
40,fantasy_world_object,fantasy_world_object_40,40,12,2
41,fantasy_world_object,fantasy_world_object_41,41,13,2
42,fantasy_world_object,fantasy_world_object_42,42,0,3
43,fantasy_world_object,fantasy_world_object_43,43,1,3
44,fantasy_world_object,fantasy_world_object_44,44,2,3
45,fantasy_world_object,fantasy_world_object_45,45,3,3
